checking_account_Status,Duration(months),Credit_history,Purpose,Credit_Amount,credit_per_month,Savings_Account/bonds,Employment_since,Installment_rate(%),Personalstatus_Gender,Gender,debtors/Guarantors,Residence_since(yrs),Property,Age,Other_installment_plans,Housing,Bank_credits,Job,Dependents,Telephone,Foriegn_worker,Credit_Classification
below_0,6,critical_acc,tv,1169,194.833333333333,no_saving_acc,more_than_7yrs,4,single,male,none,4,real_estate,67,none,own,2,skilled_employee,1,yes,yes,0
0_to_200,48,cleared_pending_dues,tv,5951,123.979166666667,Below_100,1_to_4yr,2,divorced,female,none,2,real_estate,22,none,own,1,skilled_employee,1,none,yes,1
no_account,12,critical_acc,education,2096,174.666666666667,Below_100,4_to_7yr,2,single,male,none,3,real_estate,49,none,own,1,Unskilled-Resident,2,none,yes,0
below_0,42,cleared_pending_dues,furniture,7882,187.666666666667,Below_100,4_to_7yr,2,single,male,guarantor,4,life_insurance,45,none,for_free,1,skilled_employee,2,none,yes,0
below_0,24,delayed_payement,new_car,4870,202.916666666667,Below_100,1_to_4yr,3,single,male,none,4,no_property,53,none,for_free,2,skilled_employee,2,none,yes,1
no_account,36,cleared_pending_dues,education,9055,251.52777777777803,no_saving_acc,1_to_4yr,2,single,male,none,4,no_property,35,none,for_free,1,Unskilled-Resident,2,yes,yes,0
no_account,24,cleared_pending_dues,furniture,2835,118.125,500_to_1000,more_than_7yrs,3,single,male,none,4,life_insurance,53,none,own,1,skilled_employee,1,none,yes,0
0_to_200,36,cleared_pending_dues,used_car,6948,193.0,Below_100,1_to_4yr,2,single,male,none,2,car/other,35,none,rent,1,selfemployed/Mgt,1,yes,yes,0
no_account,12,cleared_pending_dues,tv,3059,254.916666666667,Above_1000,4_to_7yr,2,divorced,male,none,4,real_estate,61,none,own,1,Unskilled-Resident,1,none,yes,0
0_to_200,30,critical_acc,new_car,5234,174.46666666666698,Below_100,unemployed,4,married,male,none,2,car/other,28,none,own,2,selfemployed/Mgt,1,none,yes,1
0_to_200,12,cleared_pending_dues,new_car,1295,107.916666666667,Below_100,lessthan_year,3,divorced,female,none,1,car/other,25,none,rent,1,skilled_employee,1,none,yes,1
below_0,48,cleared_pending_dues,business,4308,89.75,Below_100,lessthan_year,3,divorced,female,none,4,life_insurance,24,none,rent,1,skilled_employee,1,none,yes,1
0_to_200,12,cleared_pending_dues,tv,1567,130.583333333333,Below_100,1_to_4yr,1,divorced,female,none,1,car/other,22,none,own,1,skilled_employee,1,yes,yes,0
below_0,24,critical_acc,new_car,1199,49.9583333333333,Below_100,more_than_7yrs,4,single,male,none,4,car/other,60,none,own,2,Unskilled-Resident,1,none,yes,1
below_0,15,cleared_pending_dues,new_car,1403,93.5333333333333,Below_100,1_to_4yr,2,divorced,female,none,4,car/other,28,none,rent,1,skilled_employee,1,none,yes,0
below_0,24,cleared_pending_dues,tv,1282,53.4166666666667,100_to_500,1_to_4yr,4,divorced,female,none,2,car/other,32,none,own,1,Unskilled-Resident,1,none,yes,1
no_account,24,critical_acc,tv,2424,101.0,no_saving_acc,more_than_7yrs,4,single,male,none,4,life_insurance,53,none,own,2,skilled_employee,1,none,yes,0
below_0,30,no_credits_taken,business,8072,269.066666666667,no_saving_acc,lessthan_year,2,single,male,none,3,car/other,25,bank,own,3,skilled_employee,1,none,yes,0
0_to_200,24,cleared_pending_dues,used_car,12579,524.125,Below_100,more_than_7yrs,4,divorced,female,none,2,no_property,44,none,for_free,1,selfemployed/Mgt,1,yes,yes,1
no_account,24,cleared_pending_dues,tv,3430,142.916666666667,500_to_1000,more_than_7yrs,3,single,male,none,2,car/other,31,none,own,1,skilled_employee,2,yes,yes,0
no_account,9,critical_acc,new_car,2134,237.111111111111,Below_100,1_to_4yr,4,single,male,none,4,car/other,48,none,own,3,skilled_employee,1,yes,yes,0
below_0,6,cleared_pending_dues,tv,2647,441.166666666667,500_to_1000,1_to_4yr,2,single,male,none,3,real_estate,44,none,rent,1,skilled_employee,2,none,yes,0
below_0,10,critical_acc,new_car,2241,224.1,Below_100,lessthan_year,1,single,male,none,3,real_estate,48,none,rent,2,Unskilled-Resident,2,none,no,0
0_to_200,12,critical_acc,used_car,1804,150.333333333333,100_to_500,lessthan_year,3,single,male,none,4,life_insurance,44,none,own,1,skilled_employee,1,none,yes,0
no_account,10,critical_acc,furniture,2069,206.9,no_saving_acc,1_to_4yr,2,married,male,none,1,car/other,26,none,own,2,skilled_employee,1,none,no,0
below_0,6,cleared_pending_dues,furniture,1374,229.0,Below_100,1_to_4yr,1,single,male,none,2,real_estate,36,bank,own,1,Unskilled-Resident,1,yes,yes,0
no_account,6,no_credits_taken,tv,426,71.0,Below_100,more_than_7yrs,4,married,male,none,4,car/other,39,none,own,1,Unskilled-Resident,1,none,yes,0
above_200,12,duly_paid,tv,409,34.0833333333333,Above_1000,1_to_4yr,3,divorced,female,none,3,real_estate,42,none,rent,2,skilled_employee,1,none,yes,0
0_to_200,7,cleared_pending_dues,tv,2415,345.0,Below_100,1_to_4yr,3,single,male,guarantor,2,real_estate,34,none,own,1,skilled_employee,1,none,yes,0
below_0,60,delayed_payement,business,6836,113.933333333333,Below_100,more_than_7yrs,3,single,male,none,4,no_property,63,none,own,2,skilled_employee,1,yes,yes,1
0_to_200,18,cleared_pending_dues,business,1913,106.277777777778,Above_1000,lessthan_year,3,married,male,none,3,real_estate,36,bank,own,1,skilled_employee,1,yes,yes,0
below_0,24,cleared_pending_dues,furniture,4020,167.5,Below_100,1_to_4yr,2,single,male,none,2,car/other,27,stores,own,1,skilled_employee,1,none,yes,0
0_to_200,18,cleared_pending_dues,new_car,5866,325.888888888889,100_to_500,1_to_4yr,2,single,male,none,2,car/other,30,none,own,2,skilled_employee,1,yes,yes,0
no_account,12,critical_acc,business,1264,105.333333333333,no_saving_acc,more_than_7yrs,4,single,male,none,4,no_property,57,none,rent,1,Unskilled-Resident,1,none,yes,0
above_200,12,cleared_pending_dues,furniture,1474,122.833333333333,Below_100,lessthan_year,4,divorced,female,none,1,life_insurance,33,bank,own,1,selfemployed/Mgt,1,yes,yes,0
0_to_200,45,critical_acc,tv,4746,105.46666666666701,Below_100,lessthan_year,4,single,male,none,2,life_insurance,25,none,own,2,Unskilled-Resident,1,none,yes,1
no_account,48,critical_acc,education,6110,127.291666666667,Below_100,1_to_4yr,1,single,male,none,3,no_property,31,bank,for_free,1,skilled_employee,1,yes,yes,0
